"species","dataSource","countryCode","stateProvince","year","individualCount","coordinateUncertaintyInMeters","taxonRank","gbifID","ID","decimalLongitude","decimalLatitude"
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4839,-68.0828,47
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2633,-69.3662,47.2474
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2605,-69.3606,47.25
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,5020,-68.805,47.1389
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2455,-68.555,47.0834
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4952,-68.5273,47.0834
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4906,-69.3884,47.25
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4475,-69.2773,47.2223
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2396,-69.234,47.2182
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2576,-69.0402,47.174
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4804,-68.6939,47.1112
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4513,-68.559,47.0837
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2411,-68.4479,47.0574
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2364,-68.305,47.0278
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2295,-68.1661,47
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4994,-68.1338,46.9889
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4551,-69.3521,47.2281
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,5029,-69.1939,47.1945
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4851,-68.9424,47.1459
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2645,-68.2217,47
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4625,-67.9439,46.9445
"Picea rubens","GBIF","CAN",NA,"1954","NA","NA","SPECIES",465857289,169,-62.1333,45.5735
"Picea rubens","GBIF","CAN",NA,"1956","NA","NA","SPECIES",465857347,147,-61.7106,45.4578
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4697,-69.3606,47.2223
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,473,-68.6363,47.0745
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2281,-69.3048,47.1968
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4999,-69.2773,47.1945
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2575,-69.1209,47.1658
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2683,-68.7217,47.0834
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4932,-68.57,47.0549
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2495,-68.4753,47.0337
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,444,-68.4439,47.0278
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4639,-68.3215,47.0028
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2282,-68.4717,47.0278
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2108,-68.2833,46.9864
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2493,-68.2217,46.9723
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4502,-68.209,46.9674
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2691,-68.4162,47
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2211,-67.8884,46.8889
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4868,-68.9422,47.099
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2554,-68.7007,47.0522
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4427,-68.4717,47
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2468,-68.356,46.9807
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4544,-67.893,46.8853
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2619,-69.3328,47.1667
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4887,-68.8753,47.0738
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2397,-69.3429,47.1618
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2642,-69.2823,47.1519
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,5021,-68.8246,47.0593
"Picea rubens","GBIF","CAN",NA,"2006","NA","NA","SPECIES",4512894733,87,-64.7813,46.166
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4557,-69.491,47.184
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4615,-69.4286,47.1729
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4435,-69.2773,47.1389
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2545,-68.2765,46.936
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2304,-69.4439,47.1667
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2316,-69.0273,47.0834
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4411,-69.0228,47.0802
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4973,-68.7773,47.0278
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2376,-68.5069,46.9773
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4521,-68.2495,46.9167
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2682,-67.8619,46.8438
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4715,-69.3884,47.1389
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,3286,-69.2237,47.1068
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4621,-68.9717,47.0556
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4650,-68.7769,47.0203
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4703,-68.6939,47
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2358,-68.6662,47
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2183,-68.555,46.9723
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4413,-68.5491,46.974
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4968,-68.4564,46.9548
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4683,-68.3885,46.9365
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4903,-69.3271,47.1195
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2334,-68.7217,47
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2275,-68.3328,46.9167
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,485,-69.3603,47.1224
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2288,-69.2472,47.0956
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2567,-69.1662,47.0834
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2621,-69.055,47.0556
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4987,-68.8884,47.0278
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2402,-68.8253,47.0123
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,2164,-68.7267,46.9875
"Picea rubens","FIA","USA","Maine","NA","NA","NA","SPECIES",NA,4936,-68.6384,46.9723
